condition,binSize,bin,binStart,binEnd,binCenter,n_trials,n_error,ER_mean,ER_se,MT_n,MT_mean,MT_se,TPe_n,TPe_mean,TPe_se,TPe_with_deviation_n,TPe_with_deviation_mean,TPe_with_deviation_se,condition_label
width_wide,10,1,1,10,5.5,10,5,50.0,16.666666666666664,9,0.9042222222222223,0.0730659477188203,9,41.62734202122469,12.78836730135545,10,39.609429679328194,11.614897365326996,Wide-width A1000 W50 ID20 / C1
width_wide,10,2,11,20,15.5,10,5,50.0,16.666666666666664,9,0.7226666666666667,0.020608115984835782,9,45.807827413582885,9.484180377895905,9,45.807827413582885,9.484180377895905,Wide-width A1000 W50 ID20 / C1
width_wide,10,3,21,30,25.5,10,4,40.0,16.32993161855452,10,0.8126,0.02932962097720778,10,48.36856208168217,6.01910094655135,10,48.36856208168217,6.01910094655135,Wide-width A1000 W50 ID20 / C1
width_wide,10,4,31,40,35.5,10,5,50.0,16.666666666666664,8,0.870625,0.08958215253928334,8,57.33832916978609,16.239772540226937,8,57.33832916978609,16.239772540226937,Wide-width A1000 W50 ID20 / C1
width_wide,10,5,41,50,45.5,10,6,60.0,16.32993161855452,9,0.838,0.0430196983304677,9,41.176360966010556,8.533091097159899,9,41.176360966010556,8.533091097159899,Wide-width A1000 W50 ID20 / C1
width_wide,10,6,51,60,55.5,10,5,50.0,16.666666666666664,9,0.9617777777777778,0.05773016200339535,9,42.56937106155016,9.672633617130694,9,42.56937106155016,9.672633617130694,Wide-width A1000 W50 ID20 / C1
width_wide,10,7,61,70,65.5,10,6,60.0,16.32993161855452,9,0.8638888888888889,0.05914211801632394,9,41.94886752216874,8.289527053325015,9,41.94886752216874,8.289527053325015,Wide-width A1000 W50 ID20 / C1
width_wide,10,8,71,80,75.5,10,7,70.0,15.275252316519467,7,0.973,0.05965695584717997,7,20.322222051204246,4.651723225914341,8,18.188902756420077,4.5585028179635465,Wide-width A1000 W50 ID20 / C1
width_wide,10,9,81,90,85.5,10,1,10.0,10.0,9,0.9527777777777777,0.02820548497572856,9,52.215844164302005,8.515667491649777,9,52.215844164302005,8.515667491649777,Wide-width A1000 W50 ID20 / C1
width_wide,10,10,91,100,95.5,10,5,50.0,16.666666666666664,8,0.858,0.08286499347044651,8,50.70888042500805,12.398879735618014,8,50.70888042500805,12.398879735618014,Wide-width A1000 W50 ID20 / C1
