binSize,binCenter,metric,contrast,left_condition,right_condition,difference_left_minus_right
20,10.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-0.03425630252100842
20,30.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-0.11372058823529418
20,50.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-0.0982316176470589
20,70.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.00048366013071887703
20,90.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.051148606811145525
20,110.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.04083918128654973
20,130.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.03428235294117654
20,150.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.04754901960784308
20,170.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.11031578947368426
20,190.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.02573976608187145
20,210.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.06227678571428563
20,230.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-0.003166666666666762
20,250.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.04353947368421063
20,270.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.09564705882352942
20,290.5,MT_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.13415170278637778
20,10.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.24488235294117655
20,30.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.007101307189542272
20,50.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.02702573529411767
20,70.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.0938897058823529
20,90.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.19149090909090916
20,110.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.17297142857142855
20,130.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.08373333333333322
20,150.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.055190476190476234
20,170.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.0630952380952381
20,190.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.03461428571428571
20,210.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.04335238095238103
20,230.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.1624615384615382
20,250.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-0.0784615384615388
20,270.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.044428571428571484
20,290.5,MT_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,0.3393846153846154
20,10.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-1.1056470588235294
20,30.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.9307483660130719
20,50.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.8915
20,70.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.9074191176470588
20,90.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.4958631578947369
20,110.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.6234841269841269
20,130.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.37006666666666677
20,150.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.5459747899159665
20,170.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.5126766917293233
20,190.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.7351015037593985
20,210.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.7870714285714285
20,230.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.7643974358974361
20,250.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.6401336032388661
20,270.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.7130000000000002
20,290.5,MT_mean,Width manipulation: wide - narrow,width_wide,width_narrow,-0.9087894736842106
20,10.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8265084033613446
20,30.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8099264705882354
20,50.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8202941176470587
20,70.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8140130718954248
20,90.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.7385026737967916
20,110.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8372947368421052
20,130.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.4880823529411765
20,150.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.5383333333333333
20,170.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.6860877192982456
20,190.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.7954555555555557
20,210.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.8059958333333331
20,230.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.9236923076923076
20,250.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.7621346153846156
20,270.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.7642184873949581
20,290.5,MT_mean,Distance manipulation: long - short,length_long,length_short,0.703556561085973
20,10.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-13.273119822096838
20,30.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-17.646888227184068
20,50.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-10.625512908098635
20,70.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-11.838902700928237
20,90.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,0.8909609757938028
20,110.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-10.315736013932124
20,130.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-3.271588435411715
20,150.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-14.822877269207105
20,170.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-29.532608043305288
20,190.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-12.181025576435793
20,210.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-14.312083764407639
20,230.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-9.480067254598517
20,250.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-18.013452216918765
20,270.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-24.394757772974664
20,290.5,TPe_mean,Same ID20: wide-width - short-distance,width_wide,length_short,-33.064198041633205
20,10.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-7.520581969922816
20,30.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-5.490716229127393
20,50.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-10.966962146063679
20,70.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-9.302960862183472
20,90.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-9.834573063569245
20,110.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,11.942908639262377
20,130.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-4.134821443880774
20,150.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,5.797225815324776
20,170.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,3.03046868770749
20,190.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,5.880726130746467
20,210.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,20.652614975823944
20,230.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,1.5229504323051728
20,250.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,5.17375966434512
20,270.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-2.1928290658647143
20,290.5,TPe_mean,Same ID50: narrow-width - long-distance,width_narrow,length_long,-14.644710192808581
20,10.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,14.298050831748519
20,30.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,1.1347010617018078
20,50.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,12.68443638549953
20,70.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,18.69770145810011
20,90.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,3.508541869124329
20,110.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,17.77420777918826
20,130.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,6.569860284219281
20,150.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,11.378906319761999
20,170.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,2.5736053031929274
20,190.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,18.86346720842679
20,210.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,4.464679236915927
20,230.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,11.31728311646323
20,250.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,2.9657207357194864
20,270.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,5.1170581318401105
20,290.5,TPe_mean,Width manipulation: wide - narrow,width_wide,width_narrow,13.09601991297442
20,10.5,TPe_mean,Distance manipulation: long - short,length_long,length_short,-20.05058868392254
