metric,param,contrast,mean,ci_low,ci_high,p_two_sided_approx
MT_success,a,width_wide_minus_width_narrow,-0.8597472022342739,-0.8597472022342738,-0.8597472022342738,0.0
MT_success,a,length_long_minus_length_short,0.8508496620210888,0.8508496620210885,0.8508496620210885,0.0
MT_success,a,abs_width_effect_minus_abs_length_effect,0.00889754021318534,0.00889754021318534,0.00889754021318534,0.0
MT_success,a,same_ID20_width_wide_minus_length_short,-0.7004973896362462,-0.7004973896362462,-0.7004973896362462,0.0
MT_success,a,same_ID50_width_narrow_minus_length_long,-0.691599849423061,-0.6915998494230609,-0.6915998494230609,0.0
MT_success,a,ID20_mean_minus_ID50_mean,-0.855298432127681,-0.8552984321276811,-0.8552984321276811,0.0
MT_success,b,width_wide_minus_width_narrow,-0.2318139480401301,-0.23181394804013009,-0.23181394804013009,0.0
MT_success,b,length_long_minus_length_short,-0.006920371019756624,-0.006920371019756625,-0.006920371019756625,0.0
MT_success,b,abs_width_effect_minus_abs_length_effect,0.22489357702037346,0.22489357702037346,0.22489357702037346,0.0
MT_success,b,same_ID20_width_wide_minus_length_short,-0.03552430535874005,-0.035524305358740044,-0.035524305358740044,0.0
MT_success,b,same_ID50_width_narrow_minus_length_long,0.20321001370114672,0.20321001370114666,0.20321001370114666,0.0
MT_success,b,ID20_mean_minus_ID50_mean,-0.11244678851018673,-0.11244678851018672,-0.11244678851018672,0.0
MT_success,c,width_wide_minus_width_narrow,-0.4807481152393175,-0.4807481152393175,-0.4807481152393175,0.0
MT_success,c,length_long_minus_length_short,-2.200131819265865e-16,-2.200131819265865e-16,-2.200131819265865e-16,0.0
MT_success,c,abs_width_effect_minus_abs_length_effect,0.4807481152393173,0.48074811523931726,0.48074811523931726,0.0
MT_success,c,same_ID20_width_wide_minus_length_short,0.6081947668271256,0.6081947668271256,0.6081947668271256,0.0
MT_success,c,same_ID50_width_narrow_minus_length_long,1.0889428820664435,1.0889428820664433,1.0889428820664433,0.0
MT_success,c,ID20_mean_minus_ID50_mean,-0.24037405761965866,-0.24037405761965863,-0.24037405761965863,0.0
inv_TPe,a,width_wide_minus_width_narrow,-0.012189228063992669,-0.012189228063992669,-0.012189228063992669,0.0
inv_TPe,a,length_long_minus_length_short,-0.025418895664392475,-0.02541889566439247,-0.02541889566439247,0.0
